127id,latitude,longitude,connection_order
9,42.756,25.576,34
9,42.523,25.351,35
9,42.301,25.109,36
9,42.091,24.85,37
9,41.892,24.575,38
9,41.706,24.285,39
9,41.533,23.982,40
9,41.374,23.666,41
9,41.229,23.34,42
9,41.099,23.002,43
9,40.985,22.656,44
9,40.886,22.303,45
9,40.803,21.942,46
9,40.736,21.576,47
9,40.686,21.206,48
9,40.652,20.833,49
9,40.635,20.458,50
9,40.635,20.082,51
9,40.652,19.707,52
9,40.686,19.334,53
9,40.736,18.964,54
9,40.803,18.598,55
9,40.886,18.237,56
9,40.985,17.884,57
9,41.099,17.538,58
9,41.229,17.2,59
9,41.374,16.874,60
9,41.533,16.558,61
9,41.706,16.255,62
9,41.892,15.965,63
9,42.091,15.69,64
9,42.301,15.431,65
9,42.523,15.189,66
9,42.756,14.964,67
9,42.997,14.759,68
9,43.248,14.572,69
9,43.507,14.407,70
9,43.772,14.263,71
9,44.043,14.142,72
9,44.319,14.043,73
9,44.599,13.968,74
9,44.882,13.918,75
9,45.167,13.893,76
9,45.452,13.893,77
9,45.736,13.919,78
9,46.019,13.971,79
9,46.299,14.049,80
9,46.574,14.154,81
9,46.845,14.285,82
9,47.109,14.442,83
9,47.366,14.625,84
9,47.613,14.834,85
9,47.851,15.067,86
9,48.078,15.325,87
9,48.293,15.606,88
9,48.495,15.909,89
9,48.683,16.233,90
9,48.856,16.576,91
9,49.013,16.938,92
9,49.154,17.317,93
9,49.277,17.71,94
9,49.383,18.116,95
9,49.47,18.534,96
9,49.538,18.96,97
9,49.587,19.393,98
9,49.617,19.83,99
9,49.627,20.27,100
10,42.917,27.14,1
10,42.907,27.529,2
10,42.878,27.916,3
10,42.83,28.299,4
10,42.763,28.677,5
10,42.677,29.047,6
10,42.573,29.408,7
10,42.452,29.757,8
10,42.313,30.095,9
10,42.158,30.418,10
10,41.988,30.726,11
10,41.802,31.016,12
10,41.603,31.289,13
10,41.39,31.543,14
10,41.166,31.776,15
10,40.93,31.989,16
10,40.684,32.18,17
10,40.43,32.349,18
10,40.168,32.495,19
10,39.899,32.618,20
10,39.624,32.718,21
10,39.345,32.794,22
10,39.063,32.847,23
10,38.779,32.876,24
10,38.494,32.882,25
10,38.209,32.866,26
10,37.926,32.826,27
10,37.645,32.764,28
10,37.368,32.681,29
10,37.095,32.576,30
10,36.828,32.451,31
10,36.568,32.306,32
10,36.316,32.141,33
10,36.072,31.959,34
10,35.837,31.758,35
10,35.613,31.541,36
10,35.4,31.308,37
10,35.199,31.061,38
10,35.011,30.799,39
10,34.836,30.525,40
10,34.675,30.239,41
10,34.528,29.942,42
10,34.396,29.635,43
10,34.28,29.32,44
10,34.18,28.997,45
10,34.095,28.668,46
10,34.028,28.334,47
10,33.977,27.996,48
10,33.943,27.655,49
10,33.926,27.312,50
10,33.926,26.968,51
10,33.943,26.625,52
10,33.977,26.284,53
10,34.028,25.946,54
10,34.095,25.612,55
10,34.18,25.283,56
10,34.28,24.96,57
10,34.396,24.645,58
10,34.528,24.338,59
10,34.675,24.041,60
10,34.836,23.755,61
10,35.011,23.481,62
10,35.199,23.219,63
10,35.4,22.972,64
10,35.613,22.739,65
10,35.837,22.522,66
10,36.072,22.321,67
10,36.316,22.139,68
10,36.568,21.974,69
10,36.828,21.829,70
10,37.095,21.704,71
10,37.368,21.599,72
10,37.645,21.516,73
10,37.926,21.454,74
10,38.209,21.414,75
10,38.494,21.398,76
10,38.779,21.404,77
10,39.063,21.433,78
10,39.345,21.486,79
10,39.624,21.562,80
10,39.899,21.662,81
10,40.168,21.785,82
10,40.43,21.931,83
10,40.684,22.1,84
10,40.93,22.291,85
10,41.166,22.504,86
10,41.39,22.737,87
10,41.603,22.991,88
10,41.802,23.264,89
10,41.988,23.554,90
10,42.158,23.862,91
10,42.313,24.185,92
10,42.452,24.523,93
10,42.573,24.872,94
10,42.677,25.233,95
10,42.763,25.603,96
10,42.83,25.981,97
10,42.878,26.364,98
10,42.907,26.751,99
10,42.917,27.14,100
11,44.427,32.86,1
11,44.417,33.259,2
11,44.388,33.656,3
11,44.34,34.049,4
11,44.272,34.436,5
11,44.186,34.815,6
11,44.082,35.185,7
11,43.96,35.543,8
11,43.821,35.888,9
11,43.666,36.219,10
11,43.495,36.534,11
11,43.309,36.831,12
11,43.109,37.11,13
11,42.896,37.369,14
11,42.671,37.607,15
11,42.435,37.824,16
11,42.189,38.018,17
11,41.934,38.19,18
11,41.671,38.338,19
11,41.401,38.463,20
11,41.127,38.564,21
11,40.848,38.641,22
11,40.565,38.693,23
11,40.281,38.722,24
11,39.996,38.727,25
11,39.711,38.709,26
11,39.428,38.667,27
11,39.148,38.603,28
11,38.871,38.516,29
11,38.598,38.408,30
11,38.332,38.28,31
11,38.072,38.13,32
11,37.82,37.962,33
11,37.576,37.775,34
11,37.342,37.569,35
11,37.119,37.347,36
11,36.906,37.109,37
11,36.706,36.856,38
11,36.518,36.589,39
11,36.343,36.309,40
11,36.182,36.017,41
11,36.036,35.715,42
11,35.905,35.402,43
11,35.789,35.081,44
11,35.689,34.752,45
11,35.605,34.417,46
11,35.537,34.076,47
11,35.487,33.732,48
11,35.453,33.384,49
11,35.436,33.035,50
11,35.436,32.685,51
11,35.453,32.336,52
11,35.487,31.988,53
11,35.537,31.644,54
11,35.605,31.303,55
11,35.689,30.968,56
11,35.789,30.639,57
11,35.905,30.318,58
11,36.036,30.005,59
11,36.182,29.703,60
11,36.343,29.411,61
11,36.518,29.131,62
11,36.706,28.864,63
11,36.906,28.611,64
11,37.119,28.373,65
11,37.342,28.151,66
11,37.576,27.945,67
11,37.82,27.758,68
11,38.072,27.59,69
11,38.332,27.44,70
11,38.598,27.312,71
11,38.871,27.204,72
11,39.148,27.117,73
11,39.428,27.053,74
11,39.711,27.011,75
11,39.996,26.993,76
11,40.281,26.998,77
11,40.565,27.027,78
11,40.848,27.079,79
11,41.127,27.156,80
11,41.401,27.257,81
11,41.671,27.382,82
11,41.934,27.53,83
11,42.189,27.702,84
11,42.435,27.896,85
11,42.671,28.113,86
11,42.896,28.351,87
11,43.109,28.61,88
11,43.309,28.889,89
11,43.495,29.186,90
11,43.666,29.501,91
11,43.821,29.832,92
11,43.96,30.177,93
11,44.082,30.535,94
11,44.186,30.905,95
11,44.272,31.284,96
11,44.34,31.671,97
11,44.388,32.064,98
11,44.417,32.461,99
11,44.427,32.86,100
12,41.477,35.23,1
12,41.467,35.61,2
12,41.438,35.989,3
12,41.39,36.363,4
12,41.323,36.732,5
12,41.238,37.094,6
12,41.134,37.447,7
12,41.013,37.789,8
12,40.875,38.12,9
12,40.721,38.436,10
12,40.551,38.737,11
12,40.366,39.022,12
12,40.167,39.29,13
12,39.955,39.539,14
12,39.73,39.768,15
12,39.495,39.977,16
12,39.25,40.165,17
12,38.996,40.331,18
12,38.734,40.475,19
12,38.465,40.597,20
12,38.191,40.696,21
12,37.912,40.772,22
12,37.63,40.825,23
12,37.346,40.855,24
12,37.061,40.862,25
12,36.776,40.846,26
12,36.493,40.809,27
12,36.212,40.749,28
12,35.934,40.668,29
12,35.662,40.567,30
12,35.394,40.445,31
12,35.134,40.303,32
12,34.881,40.142,33
12,34.637,39.964,34
12,34.402,39.767,35
12,34.177,39.555,36
12,33.964,39.327,37
12,33.762,39.084,38
12,33.574,38.827,39
12,33.398,38.558,40
12,33.237,38.277,41
12,33.09,37.985,42
12,32.958,37.684,43
12,32.841,37.374,44
12,32.74,37.057,45
12,32.656,36.733,46
12,32.588,36.405,47
12,32.537,36.072,48
12,32.503,35.736,49
12,32.486,35.399,50
12,32.486,35.061,51
12,32.503,34.724,52
12,32.537,34.388,53
12,32.588,34.055,54
12,32.656,33.727,55
12,32.74,33.403,56
12,32.841,33.086,57
12,32.958,32.776,58
12,33.09,32.475,59
12,33.237,32.183,60
